Roll No,14MXAA,14MXAB,14MXAC,14MXAD,14MXAE,14MXAF,14MXAG,14MXAH,14MXBA,14MXBB,14MXBC,14MXCA,14MXCB,14MXCC,14MXCD,14MXCE,14MXDA,14MXDB,14MXDC,14MXDD,14MXDE,14MXDF,14MXDG,14MXDH,14MXDI,14MXDJ,14MXDK,14MXDL,14MXDM,14MXDN,14MXDO,14MXEA,14MXEB,14MXEC,14MXED,14MXFA,14MXFB,14MXGA,14MXGB
14MX01,7,,,6,,,,,,,,,9,,,,9,,,,,,,,10,,,,,7,,,,,,,,,
14MX02,,,,8,,,,,,,10,,10,,,,7,,,,,,,,9,,,,,,,,,,,,8,,
14MX03,6,,,10,,,8,,,,,,,,,,9,,,,,,,,9,,,,,6,,,,,,,,,
14MX04,,,,6,,,8,,,,9,,,,,,9,,,,,,,,8,,,,,6,,,,,,,,,
14MX05,,,,7,,,,,,,8,,7,,,,7,,,,,,,,,,,,,8,,,6,,,,,,
14MX06,,,,6,,,9,,,,8,,,,,,7,,,,,,,,,,,,,,,,7,,,,9,,
14MX07,8,,,6,,,,,,,,,6,,,,6,,,,,,,,6,,,,,,,,,,,,7,,
14MX08,,,,10,,,7,,,,6,,,,,,8,,,,,,,,,,,,,,,,9,,,,6,,
14MX09,,,,7,,,7,,,,7,,,,,,8,,,,,,,,8,,,,,10,,,,,,,,,
14MX10,,,,6,,,6,,,,6,,,,,,10,,,,,,,,,,,,,9,,,9,,,,,,
14MX11,10,,,6,,,,,,,,,8,,,,6,,,,,,,,7,,,,,,,,,,,,9,,
14MX12,,,,8,,,,,,,9,,8,,,,7,,,,,,,,10,,,,,7,,,,,,,,,
14MX13,,,,6,,,8,,,,10,,,,,,7,,,,,,,,,,,,,,,,9,,,,9,,
14MX14,9,,,6,,,10,,,,,,,,,,7,,,,,,,,,,,,,,,,10,,,,6,,
14MX15,,,,7,,,,,,,9,,7,,,,6,,,,,,,,,,,,,6,,,6,,,,,,
14MX16,8,,,10,,,,,,,,,7,,,,10,,,,,,,,8,,,,,,,,,,,,10,,
14MX17,6,,,7,,,,,,,,,7,,,,8,,,,,,,,,,,,,8,,,7,,,,,,
14MX18,7,,,7,,,9,,,,,,,,,,7,,,,,,,,,,,,,,,,6,,,,10,,
14MX19,,,,8,,,6,,,,9,,,,,,10,,,,,,,,7,,,,,,,,,,,,7,,
14MX20,9,,,10,,,,,,,,,9,,,,7,,,,,,,,7,,,,,9,,,,,,,,,
14MX21,,,,7,,,10,,,,10,,,,,,8,,,,,,,,,,,,,,,,8,,,,6,,
14MX22,,,,6,,,10,,,,8,,,,,,8,,,,,,,,,,,,,10,,,8,,,,,,
14MX23,9,,,8,,,,,,,,,6,,,,6,,,,,,,,8,,,,,,,,,,,,6,,
14MX24,6,,,9,,,8,,,,,,,,,,8,,,,,,,,,,,,,,,,9,,,,9,,
14MX25,,,,9,,,,,,,8,,10,,,,7,,,,,,,,,,,,,8,,,10,,,,,,
14MX26,8,,,9,,,7,,,,,,,,,,7,,,,,,,,9,,,,,8,,,,,,,,,
14MX27,,,,10,,,6,,,,7,,,,,,9,,,,,,,,9,,,,,,,,,,,,10,,
14MX28,,,,9,,,,,,,6,,9,,,,6,,,,,,,,10,,,,,,,,,,,,8,,
14MX29,10,,,10,,,,,,,,,9,,,,6,,,,,,,,,,,,,7,,,7,,,,,,
14MX30,10,,,9,,,8,,,,,,,,,,10,,,,,,,,,,,,,8,,,8,,,,,,
14MX31,,,,6,,,9,,,,9,,,,,,8,,,,,,,,,,,,,,,,7,,,,6,,
14MX32,6,,,8,,,,,,,,,7,,,,9,,,,,,,,8,,,,,,,,,,,,6,,
14MX33,7,,,9,,,,,,,,,6,,,,7,,,,,,,,6,,,,,,,,,,,,10,,
14MX34,7,,,10,,,7,,,,,,,,,,8,,,,,,,,,,,,,10,,,6,,,,,,
14MX35,10,,,7,,,,,,,,,8,,,,8,,,,,,,,9,,,,,,,,,,,,6,,
14MX36,,,,6,,,6,,,,7,,,,,,6,,,,,,,,,,,,,8,,,9,,,,,,
14MX37,,,,9,,,8,,,,8,,,,,,9,,,,,,,,,,,,,,,,10,,,,7,,
14MX38,6,,,10,,,,,,,,,9,,,,10,,,,,,,,,,,,,9,,,8,,,,,,
14MX39,,,,9,,,,,,,6,,7,,,,8,,,,,,,,10,,,,,,,,,,,,6,,
14MX40,,,,6,,,9,,,,6,,,,,,7,,,,,,,,9,,,,,,,,,,,,9,,
14MX41,,,,10,,,,,,,9,,10,,,,10,,,,,,,,6,,,,,8,,,,,,,,,
14MX42,8,,,6,,,,,,,,,7,,,,8,,,,,,,,,,,,,8,,,7,,,,,,
14MX43,9,,,9,,,,,,,,,8,,,,9,,,,,,,,,,,,,,,,7,,,,6,,
14MX44,9,,,6,,,7,,,,,,,,,,7,,,,,,,,6,,,,,,,,,,,,6,,
14MX45,8,,,6,,,8,,,,,,,,,,6,,,,,,,,6,,,,,,,,,,,,9,,
14MX46,,,,9,,,,,,,8,,7,,,,8,,,,,,,,,,,,,7,,,9,,,,,,
14MX47,,,,8,,,,,,,7,,9,,,,8,,,,,,,,,,,,,6,,,10,,,,,,
14MX48,,,,8,,,9,,,,7,,,,,,7,,,,,,,,8,,,,,,,,,,,,9,,
14MX49,6,,,9,,,10,,,,,,,,,,7,,,,,,,,,,,,,8,,,6,,,,,,
14MX50,,,,9,,,,,,,9,,10,,,,6,,,,,,,,9,,,,,,,,,,,,10,,
14MX51,,,,10,,,,,,,8,,9,,,,6,,,,,,,,,,,,,,,,8,,,,9,,
14MX52,7,,,9,,,7,,,,,,,,,,6,,,,,,,,,,,,,9,,,9,,,,,,
14MX53,7,,,6,,,6,,,,,,,,,,8,,,,,,,,10,,,,,,,,,,,,7,,
14MX54,,,,6,,,,,,,10,,8,,,,7,,,,,,,,,,,,,10,,,8,,,,,,
14MX55,,,,7,,,,,,,8,,8,,,,7,,,,,,,,,,,,,7,,,9,,,,,,
14MX56,,,,6,,,9,,,,9,,,,,,6,,,,,,,,8,,,,,,,,,,,,7,,
14MX57,9,,,7,,,,,,,,,9,,,,7,,,,,,,,8,,,,,,,,,,,,9,,
14MX58,10,,,6,,,8,,,,,,,,,,10,,,,,,,,,,,,,6,,,10,,,,,,
14MX59,8,,,6,,,,,,,,,6,,,,9,,,,,,,,6,,,,,6,,,,,,,,,
14MX60,8,,,6,,,7,,,,,,,,,,6,,,,,,,,7,,,,,10,,,,,,,,,
